
U.S. President, , ,11 of 11 Precincts Reported
Hillary Clinton,Democratic,799,40.745%
Henry Hewes,Democratic,0,0.000%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.000%
Bernie Sanders,Democratic,"1,153",58.797%
Keith Judd,Democratic,1,0.051%
Willie L. Wilson,Democratic,0,0.000%
Martin J. O'Malley,Democratic,0,0.000%
John Wolfe,Democratic,0,0.000%
Jon Adams,Democratic,1,0.051%
Uncommitted,Democratic,7,0.357%
 ,Party Total:,"1,961", 
 , , , 
Chris Christie,Republican,3,0.086%
Jeb Bush,Republican,16,0.460%
Ben Carson,Republican,34,0.978%
Donald J. Trump,Republican,"1,404",40.391%
Marco Rubio,Republican,299,8.602%
Ted Cruz,Republican,"1,164",33.487%
Rick Santorum,Republican,1,0.029%
Carly Fiorina,Republican,3,0.086%
John R. Kasich,Republican,513,14.758%
Rand Paul,Republican,7,0.201%
Jim Lynch,Republican,0,0.000%
Mike Huckabee,Republican,21,0.604%
Uncommitted,Republican,11,0.316%
 ,Party Total:,"3,476", 
 , , , 
Austin Petersen,Libertarian,2,25.000%
Steven Elliott (Steve) Kerbel,Libertarian,0,0.000%
Rhett Rosenquest Smith,Libertarian,0,0.000%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,2,25.000%
Uncommitted,Libertarian,4,50.000%
 ,Party Total:,8, 
 , , , 
Uncommitted,Constitution,2,100.000%
 ,Total Votes:,"5,447", 
 , , , 
